iter	Passed	Remaining
0	1	137
1	2	126
2	3	121
3	4	112
4	5	111
5	7	110
6	8	111
7	9	111
8	10	109
9	12	108
10	13	106
11	14	105
12	15	104
13	16	102
14	17	101
15	19	100
16	20	99
17	21	97
18	22	97
19	23	95
20	25	94
21	26	93
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	86
28	34	84
29	35	83
30	37	82
31	38	81
32	39	80
33	40	78
34	41	77
35	42	76
36	44	75
37	45	73
38	46	72
39	47	71
40	48	70
41	49	68
42	50	67
43	51	66
44	53	64
45	54	63
46	55	62
47	56	61
48	58	60
49	59	59
50	60	58
51	61	56
52	62	55
53	63	54
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	71	47
60	72	46
61	74	45
62	75	44
63	76	42
64	77	41
65	78	40
66	79	39
67	81	38
68	82	36
69	83	35
70	84	34
71	85	33
72	86	32
73	88	30
74	89	29
75	90	28
76	91	27
77	92	26
78	94	25
79	95	23
80	96	22
81	97	21
82	99	20
83	100	19
84	101	17
85	103	16
86	104	15
87	105	14
88	107	13
89	108	12
90	109	10
91	110	9
92	112	8
93	113	7
94	114	6
95	115	4
96	117	3
97	118	2
98	120	1
99	122	0
